X,Y,Z,Step
9.375,3.0625,0.5,1
9.375,3.0625,0.51,1
9.375,3.0625,0.52,1
9.375,3.0625,0.53,1
9.375,3.0625,0.54,1
9.375,3.0625,0.55,1
9.375,3.0625,0.56,1
9.375,3.0625,0.57,1
9.375,3.0625,0.58,1
9.375,3.0625,0.59,1
9.375,3.0625,0.6,1
9.375,3.0625,0.61,1
9.375,3.0625,0.62,1
9.375,3.0625,0.63,1
9.375,3.0625,0.64,1
9.375,3.0625,0.65,1
9.375,3.0625,0.66,1
9.375,3.0625,0.67,1
9.375,3.0625,0.68,1
9.375,3.0625,0.69,1
9.375,3.0625,0.7,1
9.375,3.0625,0.71,1
9.375,3.0625,0.72,1
9.375,3.0625,0.73,1
9.375,3.0625,0.74,2
9.375,3.0625,0.75,2
9.375,3.0625,0.76,2
9.375,3.0625,0.77,2
9.375,3.0625,0.78,2
9.375,3.0625,0.79,2
9.375,3.0625,0.8,2
9.375,3.0625,0.81,2
9.375,3.0625,0.82,2
9.375,3.0625,0.83,2
9.375,3.0625,0.84,2
9.375,3.0625,0.85,2
9.375,3.0625,0.86,2
9.375,3.0625,0.87,2
9.375,3.0625,0.88,2
9.375,3.0625,0.89,2
9.375,3.0625,0.9,2
9.375,3.0625,0.91,2
9.375,3.0625,0.92,2
9.375,3.0625,0.93,2
9.375,3.0625,0.94,2
9.375,3.0625,0.95,2
9.375,3.0625,0.96,2
9.375,3.0625,0.97,2
9.375,3.0625,0.98,3
9.375,3.0625,0.99,3
9.375,3.0625,1,3
9.375,3.0625,1.01,3
9.375,3.0625,1.02,3
9.375,3.0625,1.03,3
9.375,3.0625,1.04,3
9.375,3.0625,1.05,3
9.375,3.0625,1.06,3
9.375,3.0625,1.07,3
9.375,3.0625,1.08,3
9.375,3.0625,1.09,3
9.375,3.0625,1.1,3
9.375,3.0625,1.11,3
9.375,3.0625,1.12,3
9.375,3.0625,1.13,3
9.375,3.0625,1.14,3
9.375,3.0625,1.15,3
9.375,3.0625,1.16,3
9.375,3.0625,1.17,3
9.375,3.0625,1.18,3
9.375,3.0625,1.19,3
9.375,3.0625,1.2,3
9.375,3.0625,1.21,3
9.375,3.0625,1.22,4
9.375,3.0625,1.23,4
9.375,3.0625,1.24,4
9.375,3.0625,1.25,4
9.375,3.0625,1.26,4
9.375,3.0625,1.27,4
9.375,3.0625,1.28,4
9.375,3.0625,1.29,4
9.375,3.0625,1.3,4
9.375,3.0625,1.31,4
9.375,3.0625,1.32,4
9.375,3.0625,1.33,4
9.375,3.0625,1.34,4
9.375,3.0625,1.35,4
9.375,3.0625,1.36,4
9.375,3.0625,1.37,4
9.375,3.0625,1.38,4
9.375,3.0625,1.39,4
9.375,3.0625,1.4,4
9.375,3.0625,1.41,4
9.375,3.0625,1.42,4
9.375,3.0625,1.43,4
9.375,3.0625,1.44,4
9.375,3.0625,1.45,4
9.375,3.0625,1.46,5
9.375,3.0625,1.47,5
9.375,3.0625,1.48,5
9.375,3.0625,1.49,5
9.375,3.0625,1.5,5
9.375,3.0625,1.51,5
9.375,3.0625,1.52,5
9.375,3.0625,1.53,5
9.375,3.0625,1.54,5
9.375,3.0625,1.55,5
9.375,3.0625,1.56,5
9.375,3.0625,1.57,5
9.375,3.0625,1.58,5
9.375,3.0625,1.59,5
9.375,3.0625,1.6,5
9.375,3.0625,1.61,5
9.375,3.0625,1.62,5
9.375,3.0625,1.63,5
9.375,3.0625,1.64,5
9.375,3.0625,1.65,5
9.375,3.0625,1.66,5
9.375,3.0625,1.67,5
9.375,3.0625,1.68,5
9.375,3.0625,1.69,5
9.375,3.0625,1.7,6
9.375,3.0625,1.71,6
9.375,3.0625,1.72,6
9.375,3.0625,1.73,6
9.375,3.0625,1.74,6
9.375,3.0625,1.75,6
9.375,3.0625,1.76,6
9.375,3.0625,1.77,6
9.375,3.0625,1.78,6
9.375,3.0625,1.79,6
9.375,3.0625,1.8,6
9.375,3.0625,1.81,6
9.375,3.0625,1.82,6
9.375,3.0625,1.83,6
9.375,3.0625,1.84,6
9.375,3.0625,1.85,6
9.375,3.0625,1.86,6
9.375,3.0625,1.87,6
9.375,3.0625,1.88,6
9.375,3.0625,1.89,6
9.375,3.0625,1.9,6
9.375,3.0625,1.91,6
9.375,3.0625,1.92,6
9.375,3.0625,1.93,6
8.575,5.625,0.35,7
8.575,5.625,0.36,7
8.575,5.625,0.37,7
8.575,5.625,0.38,7
8.575,5.625,0.39,7
8.575,5.625,0.4,7
8.575,5.625,0.41,7
8.575,5.625,0.42,7
8.575,5.625,0.43,7
8.575,5.625,0.44,7
8.575,5.625,0.45,7
8.575,5.625,0.46,7
8.575,5.625,0.47,7
8.575,5.625,0.48,7
8.575,5.625,0.49,7
8.575,5.625,0.5,7
8.575,5.625,0.51,7
8.575,5.625,0.52,7
8.575,5.625,0.53,7
8.575,5.625,0.54,7
8.575,5.625,0.55,7
8.575,5.625,0.56,7
8.575,5.625,0.57,7
8.575,5.625,0.58,7
8.575,5.625,0.59,7
8.575,5.625,0.6,7
8.575,5.625,0.61,7
8.575,5.625,0.62,7
8.575,5.625,0.63,7
8.575,5.625,0.64,7
8.575,5.625,0.65,7
8.575,5.625,0.66,7
8.575,5.625,0.67,7
8.575,5.625,0.68,7
8.575,5.625,0.69,7
8.575,5.625,0.7,7
8.575,5.625,0.71,7
8.575,5.625,0.72,7
8.575,5.625,0.73,7
8.575,5.625,0.74,7
8.575,5.625,0.75,7
8.575,5.625,0.76,7
8.575,5.625,0.77,7
8.575,5.625,0.78,7
8.575,5.625,0.79,7
8.575,5.625,0.8,7
8.575,5.625,0.81,7
8.575,5.625,0.82,7
8.575,5.625,0.83,7
8.575,5.625,0.84,7
8.575,5.625,0.85,7
8.575,5.625,0.86,7
8.575,5.625,0.87,7
8.575,5.625,0.88,7
8.575,5.625,0.89,7
8.575,5.625,0.9,7
8.575,5.625,0.91,7
8.575,5.625,0.92,7
8.575,5.625,0.93,7
8.575,5.625,0.94,7
8.575,5.625,0.95,7
8.575,5.625,0.96,7
8.575,5.625,0.97,7
8.575,5.625,0.98,7
8.575,5.625,0.99,7
8.575,5.625,1,7
8.575,5.625,1.01,7
8.575,5.625,1.02,7
8.575,5.625,1.03,7
8.575,5.625,1.04,7
8.575,5.625,1.05,7
8.575,5.625,1.06,7
8.575,5.625,1.07,7
8.575,5.625,1.08,7
8.575,5.625,1.09,7
8.575,5.625,1.1,7
8.575,5.625,1.11,7
8.575,5.625,1.12,7
8.575,5.625,1.13,7
8.575,5.625,1.14,7
8.575,5.625,1.15,7
8.575,5.625,1.16,7
8.575,5.625,1.17,7
8.575,5.625,1.18,7
8.575,5.625,1.19,7
8.575,5.625,1.2,7
8.575,5.625,1.21,7
8.575,5.625,1.22,7
8.575,5.625,1.23,7
8.575,5.625,1.24,7
8.575,5.625,1.25,7
8.575,5.625,1.26,7
8.575,5.625,1.27,7
8.575,5.625,1.28,7
8.575,5.625,1.29,7
8.575,5.625,1.3,7
8.575,5.625,1.31,7
8.575,5.625,1.32,7
